Transaction_ID,Products
78,"Calcetines, Zapatillas, Toalla"
79,"Botella, Camiseta, Pantalones, Balón, Sudadera"
80,"Botella, Camiseta, Sudadera"
81,"Bolsa, Zapatillas, Camiseta"
82,"Sudadera, Camiseta, Balón, Pantalones"
83,"Pantalones, Sudadera, Bolsa"
84,"Gorra, Zapatillas, Botella"
85,"Camiseta, Zapatillas, Sudadera, Bolsa, Gorra"
86,"Calcetines, Zapatillas, Pantalones"
87,"Camiseta, Toalla, Gorra, Pantalones, Botella"
88,"Calcetines, Gorra, Botella, Camiseta"
89,"Bolsa, Sudadera, Calcetines"
90,"Calcetines, Sudadera"
91,"Botella, Sudadera, Camiseta, Toalla, Zapatillas"
92,"Balón, Calcetines, Camiseta"
93,"Balón, Bolsa"
94,"Sudadera, Bolsa, Pantalones, Gorra"
95,"Calcetines, Camiseta, Bolsa"
96,"Botella, Balón"
97,"Sudadera, Bolsa, Pantalones"
98,"Balón, Sudadera, Pantalones, Botella"
99,"Botella, Calcetines, Bolsa, Zapatillas"
100,"Calcetines, Botella, Zapatillas, Pantalones, Gorra"
101,"Zapatillas, Calcetines, Bolsa, Botella, Camiseta"
102,"Calcetines, Gorra, Bolsa, Toalla"
103,"Toalla, Balón, Botella, Sudadera"
104,"Botella, Toalla, Zapatillas"
105,"Calcetines, Botella"
106,"Pantalones, Gorra, Calcetines, Balón"
107,"Zapatillas, Camiseta, Botella"
108,"Toalla, Pantalones, Balón"
109,"Balón, Gorra, Bolsa, Botella, Toalla"
110,"Zapatillas, Camiseta, Pantalones"
111,"Gorra, Zapatillas, Toalla, Camiseta, Calcetines"
112,"Pantalones, Toalla, Zapatillas"
113,"Botella, Balón, Sudadera, Bolsa, Gorra"
114,"Botella, Toalla, Zapatillas, Sudadera, Gorra"
115,"Calcetines, Gorra, Balón, Bolsa, Toalla"
116,"Gorra, Calcetines, Toalla, Camiseta, Sudadera"
117,"Gorra, Calcetines, Sudadera, Zapatillas"
118,"Zapatillas, Balón"
119,"Bolsa, Zapatillas, Gorra"
120,"Bolsa, Balón"
121,"Botella, Toalla, Bolsa, Camiseta"
122,"Bolsa, Balón, Camiseta"
123,"Toalla, Camiseta, Sudadera, Zapatillas, Gorra"
124,"Botella, Balón, Gorra, Toalla, Pantalones"
125,"Bolsa, Toalla, Camiseta, Gorra"
126,"Bolsa, Zapatillas, Toalla, Pantalones"
127,"Bolsa, Camiseta"
128,"Bolsa, Zapatillas"
129,"Zapatillas, Camiseta, Calcetines, Gorra, Balón"
130,"Toalla, Sudadera, Botella"
131,"Calcetines, Bolsa, Balón, Botella, Camiseta"
132,"Camiseta, Botella, Balón, Zapatillas, Pantalones"
133,"Camiseta, Balón"
134,"Gorra, Camiseta, Zapatillas"
135,"Zapatillas, Toalla, Pantalones"
136,"Toalla, Calcetines, Sudadera"
137,"Balón, Pantalones, Zapatillas"
138,"Pantalones, Camiseta, Calcetines, Toalla"
139,"Bolsa, Gorra, Pantalones, Calcetines, Sudadera"
140,"Pantalones, Calcetines, Balón"
141,"Sudadera, Botella"
142,"Sudadera, Pantalones, Balón, Camiseta, Gorra"
143,"Pantalones, Bolsa, Sudadera, Toalla, Gorra"
144,"Bolsa, Zapatillas, Calcetines"
145,"Toalla, Bolsa, Calcetines, Zapatillas, Pantalones"
146,"Calcetines, Toalla"
147,"Toalla, Bolsa, Sudadera"
148,"Toalla, Sudadera"
149,"Toalla, Gorra, Sudadera"
150,"Sudadera, Calcetines, Botella, Toalla"
151,"Botella, Gorra"
152,"Gorra, Bolsa"
153,"Botella, Gorra, Toalla, Sudadera, Bolsa"
154,"Toalla, Camiseta, Pantalones, Zapatillas, Balón"
155,"Gorra, Calcetines, Sudadera, Balón, Botella"
156,"Bolsa, Botella, Sudadera, Zapatillas"
157,"Calcetines, Balón, Botella, Pantalones, Camiseta"
158,"Sudadera, Pantalones, Zapatillas"
159,"Gorra, Toalla, Calcetines"
160,"Pantalones, Gorra, Calcetines, Balón"
161,"Zapatillas, Calcetines, Camiseta, Sudadera"
162,"Calcetines, Camiseta, Botella"
163,"Zapatillas, Toalla, Pantalones, Bolsa"
164,"Balón, Calcetines"
165,"Toalla, Balón, Sudadera, Pantalones, Camiseta"
166,"Toalla, Pantalones, Botella, Gorra"
167,"Pantalones, Camiseta, Zapatillas, Balón, Calcetines"
168,"Pantalones, Gorra, Balón, Calcetines"
169,"Balón, Gorra, Bolsa, Botella, Toalla"
170,"Balón, Bolsa, Calcetines, Toalla"
171,"Balón, Pantalones"
172,"Gorra, Calcetines, Pantalones"
173,"Gorra, Zapatillas, Pantalones"
174,"Camiseta, Bolsa, Toalla"
175,"Calcetines, Camiseta, Gorra, Zapatillas, Sudadera"
176,"Toalla, Pantalones, Gorra, Zapatillas"
177,"Bolsa, Pantalones, Gorra"
178,"Calcetines, Zapatillas, Pantalones"
179,"Zapatillas, Calcetines"
180,"Toalla, Pantalones, Balón, Sudadera"
181,"Bolsa, Calcetines, Toalla, Gorra"
182,"Balón, Camiseta"
183,"Sudadera, Calcetines, Camiseta, Toalla, Pantalones"
184,"Calcetines, Camiseta"
185,"Toalla, Botella, Balón"
186,"Zapatillas, Bolsa, Toalla, Camiseta"
187,"Sudadera, Bolsa, Balón, Zapatillas, Toalla"
188,"Zapatillas, Sudadera"
189,"Toalla, Calcetines, Bolsa, Balón, Botella"
190,"Toalla, Pantalones"
191,"Calcetines, Sudadera, Pantalones, Bolsa"
192,"Botella, Camiseta, Toalla, Gorra, Balón"
193,"Botella, Sudadera, Toalla"
194,"Camiseta, Gorra, Calcetines, Toalla, Pantalones"
195,"Toalla, Balón, Pantalones, Camiseta"
196,"Zapatillas, Calcetines, Camiseta"
197,"Pantalones, Gorra, Balón, Botella, Camiseta"
198,"Toalla, Calcetines, Botella"
199,"Toalla, Balón, Gorra, Botella, Calcetines"
200,"Bolsa, Gorra, Zapatillas"
201,"Calcetines, Bolsa"
202,"Botella, Calcetines, Camiseta, Zapatillas"
203,"Balón, Toalla, Zapatillas, Gorra"
204,"Sudadera, Balón, Bolsa, Gorra, Zapatillas"
205,"Gorra, Bolsa, Balón"
206,"Camiseta, Sudadera, Toalla, Botella, Gorra"
207,"Zapatillas, Toalla, Camiseta, Pantalones, Calcetines"
208,"Pantalones, Toalla, Balón, Calcetines"
209,"Camiseta, Zapatillas, Bolsa, Toalla, Sudadera"
210,"Pantalones, Toalla, Calcetines"
211,"Balón, Bolsa, Pantalones, Botella"
212,"Botella, Bolsa, Sudadera, Toalla"
213,"Botella, Camiseta, Pantalones, Toalla, Sudadera"
214,"Gorra, Pantalones, Bolsa, Camiseta"
215,"Toalla, Zapatillas"
216,"Camiseta, Balón, Sudadera, Bolsa"
217,"Calcetines, Sudadera"
218,"Bolsa, Zapatillas, Gorra, Calcetines"
219,"Balón, Zapatillas, Botella, Pantalones, Camiseta"
220,"Balón, Gorra, Toalla, Calcetines, Pantalones"
221,"Toalla, Calcetines, Balón"
222,"Camiseta, Toalla, Calcetines, Sudadera"
223,"Pantalones, Toalla, Sudadera"
224,"Bolsa, Calcetines, Toalla, Balón"
225,"Gorra, Bolsa, Toalla, Camiseta"
226,"Bolsa, Sudadera, Calcetines"
227,"Camiseta, Bolsa, Calcetines, Balón"
228,"Balón, Toalla"
229,"Gorra, Sudadera, Balón, Botella"
230,"Balón, Calcetines, Zapatillas"
231,"Camiseta, Calcetines"
232,"Camiseta, Sudadera, Zapatillas, Balón, Toalla"
233,"Bolsa, Zapatillas, Gorra, Pantalones"
234,"Botella, Balón, Calcetines, Bolsa"
235,"Calcetines, Toalla, Balón"
236,"Pantalones, Toalla, Balón, Botella"
237,"Bolsa, Botella, Sudadera"
238,"Bolsa, Camiseta"
239,"Botella, Pantalones, Toalla, Zapatillas"
240,"Balón, Bolsa, Sudadera, Camiseta"
241,"Toalla, Camiseta, Sudadera"
242,"Pantalones, Toalla, Calcetines"
243,"Pantalones, Zapatillas, Camiseta, Toalla, Botella"
244,"Pantalones, Balón, Gorra, Calcetines, Botella"
245,"Toalla, Sudadera, Bolsa, Calcetines, Botella"
246,"Bolsa, Pantalones, Toalla"
247,"Calcetines, Camiseta, Sudadera, Pantalones, Gorra"
248,"Gorra, Sudadera, Pantalones, Botella, Zapatillas"
249,"Camiseta, Bolsa, Calcetines, Pantalones"
250,"Toalla, Pantalones"
251,"Balón, Camiseta, Botella"
252,"Gorra, Zapatillas, Balón, Camiseta"
253,"Balón, Gorra, Botella"
254,"Zapatillas, Camiseta, Calcetines, Bolsa"
255,"Zapatillas, Botella, Calcetines"
256,"Pantalones, Camiseta, Zapatillas"
257,"Sudadera, Gorra"
258,"Camiseta, Zapatillas, Calcetines, Balón"
259,"Bolsa, Botella, Pantalones"
260,"Toalla, Balón"
261,"Botella, Pantalones, Toalla, Calcetines"
262,"Balón, Camiseta, Calcetines"
263,"Camiseta, Balón, Toalla, Bolsa, Gorra"
264,"Pantalones, Toalla, Botella, Camiseta, Bolsa"
265,"Balón, Zapatillas, Pantalones, Toalla"
266,"Balón, Botella, Sudadera, Gorra"
267,"Toalla, Botella, Bolsa, Camiseta"
268,"Botella, Gorra"
269,"Toalla, Gorra, Bolsa, Zapatillas, Botella"
270,"Bolsa, Pantalones, Sudadera, Gorra, Zapatillas"
271,"Sudadera, Zapatillas, Toalla, Camiseta"
272,"Pantalones, Balón"
273,"Pantalones, Sudadera, Zapatillas, Calcetines, Camiseta"
274,"Pantalones, Bolsa, Sudadera, Botella"
275,"Camiseta, Calcetines, Botella, Zapatillas, Balón"
276,"Zapatillas, Toalla, Gorra"
277,"Sudadera, Botella"
278,"Pantalones, Calcetines, Gorra, Bolsa"
279,"Botella, Balón, Camiseta, Calcetines, Sudadera"
280,"Camiseta, Zapatillas, Calcetines, Sudadera"
281,"Sudadera, Balón, Camiseta, Pantalones"
282,"Balón, Bolsa, Pantalones"
283,"Camiseta, Pantalones, Gorra"
284,"Bolsa, Toalla, Sudadera, Pantalones, Zapatillas"
285,"Sudadera, Pantalones, Camiseta, Botella"
286,"Balón, Camiseta, Pantalones"
287,"Toalla, Bolsa, Balón, Calcetines"
288,"Bolsa, Calcetines, Gorra, Balón, Botella"
289,"Sudadera, Bolsa"
290,"Calcetines, Toalla"
291,"Camiseta, Gorra, Bolsa, Calcetines"
292,"Camiseta, Gorra"
293,"Gorra, Zapatillas, Calcetines, Botella"
294,"Pantalones, Camiseta, Toalla, Sudadera"
295,"Zapatillas, Balón, Bolsa, Calcetines, Sudadera"
296,"Botella, Balón, Sudadera"
297,"Bolsa, Camiseta"
298,"Camiseta, Toalla, Pantalones, Bolsa, Zapatillas"
299,"Balón, Bolsa, Botella, Zapatillas, Camiseta"
300,"Camiseta, Sudadera, Zapatillas, Bolsa, Calcetines"
301,"Sudadera, Pantalones, Bolsa, Toalla, Camiseta"
302,"Bolsa, Balón, Pantalones"
303,"Calcetines, Sudadera, Gorra, Zapatillas, Pantalones"
304,"Botella, Pantalones"
305,"Sudadera, Balón, Zapatillas"
306,"Pantalones, Zapatillas, Calcetines"
307,"Zapatillas, Balón, Pantalones"
308,"Toalla, Balón, Botella"
309,"Sudadera, Zapatillas, Toalla, Camiseta"
310,"Toalla, Calcetines, Botella, Balón, Camiseta"
311,"Botella, Pantalones, Calcetines, Gorra"
312,"Camiseta, Balón, Sudadera, Bolsa, Zapatillas"
313,"Pantalones, Botella"
314,"Toalla, Botella, Camiseta, Gorra, Calcetines"
315,"Sudadera, Toalla, Zapatillas"
316,"Toalla, Pantalones"
317,"Pantalones, Botella, Zapatillas, Camiseta"
318,"Toalla, Balón, Zapatillas"
319,"Sudadera, Calcetines, Bolsa, Gorra"
320,"Balón, Camiseta, Sudadera, Botella"
321,"Pantalones, Botella, Bolsa, Zapatillas"
322,"Balón, Zapatillas, Sudadera, Camiseta"
323,"Sudadera, Calcetines, Bolsa"
324,"Balón, Pantalones, Calcetines"
325,"Sudadera, Zapatillas, Pantalones, Balón, Bolsa"
326,"Botella, Sudadera, Camiseta, Zapatillas, Bolsa"
327,"Gorra, Sudadera, Toalla"
328,"Gorra, Zapatillas, Botella"
329,"Calcetines, Pantalones"
330,"Sudadera, Zapatillas"
331,"Zapatillas, Balón, Botella, Bolsa, Sudadera"
332,"Toalla, Camiseta, Bolsa"
333,"Gorra, Toalla, Calcetines, Bolsa"
334,"Gorra, Botella, Balón, Zapatillas, Toalla"
335,"Sudadera, Toalla, Botella"
336,"Bolsa, Botella, Balón, Pantalones"
337,"Balón, Zapatillas, Calcetines"
338,"Toalla, Sudadera"
339,"Botella, Pantalones"
340,"Pantalones, Zapatillas, Calcetines, Gorra"
341,"Bolsa, Pantalones, Gorra"
342,"Sudadera, Camiseta, Bolsa, Botella, Gorra"
343,"Gorra, Bolsa, Pantalones, Zapatillas"
344,"Camiseta, Sudadera, Pantalones"
345,"Zapatillas, Balón, Camiseta, Botella"
346,"Zapatillas, Toalla, Botella, Calcetines, Camiseta"
347,"Camiseta, Calcetines"
348,"Zapatillas, Botella, Bolsa"
349,"Calcetines, Gorra"
350,"Pantalones, Camiseta, Gorra, Toalla"
351,"Pantalones, Balón, Toalla, Calcetines, Bolsa"
352,"Botella, Gorra"
353,"Calcetines, Bolsa, Camiseta"
354,"Gorra, Bolsa, Zapatillas, Sudadera"
355,"Botella, Sudadera"
356,"Botella, Balón"
357,"Bolsa, Toalla"
358,"Bolsa, Sudadera"
359,"Camiseta, Sudadera, Pantalones, Zapatillas"
360,"Pantalones, Sudadera, Zapatillas"
361,"Sudadera, Botella"
362,"Zapatillas, Toalla, Botella, Sudadera"
363,"Zapatillas, Pantalones, Toalla"
364,"Calcetines, Gorra"
365,"Gorra, Camiseta"
366,"Calcetines, Botella, Bolsa, Toalla"
367,"Calcetines, Camiseta, Gorra, Zapatillas, Bolsa"
368,"Sudadera, Calcetines"
369,"Sudadera, Bolsa"
370,"Toalla, Bolsa, Sudadera, Pantalones, Gorra"
371,"Sudadera, Botella, Calcetines, Bolsa, Camiseta"
372,"Pantalones, Bolsa, Zapatillas, Calcetines, Toalla"
373,"Pantalones, Balón, Sudadera, Toalla"
374,"Calcetines, Toalla, Bolsa, Pantalones"
375,"Sudadera, Toalla, Camiseta, Balón, Zapatillas"
376,"Calcetines, Camiseta, Pantalones, Sudadera, Bolsa"
377,"Sudadera, Botella, Zapatillas, Camiseta, Pantalones"
378,"Camiseta, Zapatillas, Pantalones, Toalla, Sudadera"
379,"Sudadera, Bolsa, Camiseta, Calcetines"
380,"Toalla, Sudadera, Botella"
381,"Pantalones, Zapatillas, Sudadera, Gorra, Botella"
382,"Gorra, Pantalones, Camiseta, Sudadera"
383,"Toalla, Botella, Bolsa"
384,"Calcetines, Balón"
385,"Gorra, Calcetines, Toalla, Pantalones, Camiseta"
386,"Pantalones, Toalla, Zapatillas"
387,"Pantalones, Sudadera, Botella, Toalla, Camiseta"
388,"Calcetines, Zapatillas, Botella, Bolsa"
389,"Botella, Gorra, Pantalones, Toalla"
390,"Gorra, Toalla, Camiseta"
391,"Botella, Sudadera, Toalla, Bolsa"
392,"Balón, Pantalones, Botella"
393,"Bolsa, Toalla, Balón, Botella"
394,"Balón, Pantalones, Zapatillas, Toalla, Sudadera"
395,"Toalla, Balón"
396,"Zapatillas, Botella, Balón, Bolsa"
397,"Bolsa, Botella, Camiseta"
398,"Botella, Zapatillas"
399,"Zapatillas, Balón, Sudadera, Toalla"
400,"Sudadera, Botella, Calcetines"
401,"Calcetines, Gorra"
402,"Zapatillas, Calcetines, Pantalones, Botella"
403,"Balón, Zapatillas, Botella"
404,"Balón, Camiseta, Botella, Toalla"
405,"Balón, Calcetines"
406,"Balón, Bolsa, Camiseta"
407,"Botella, Calcetines, Balón, Gorra, Pantalones"
408,"Calcetines, Toalla, Pantalones, Sudadera, Camiseta"
409,"Toalla, Bolsa, Balón"
410,"Gorra, Sudadera, Zapatillas, Toalla, Botella"
411,"Sudadera, Bolsa, Zapatillas, Botella"
412,"Botella, Balón, Pantalones, Zapatillas"
413,"Toalla, Pantalones, Calcetines"
414,"Gorra, Zapatillas, Pantalones, Camiseta, Botella"
415,"Balón, Bolsa, Gorra, Botella, Pantalones"
416,"Balón, Sudadera, Gorra, Bolsa"
417,"Toalla, Botella, Balón"
418,"Calcetines, Toalla, Camiseta, Botella, Gorra"
419,"Gorra, Balón, Sudadera, Camiseta, Bolsa"
420,"Toalla, Balón, Calcetines, Botella"
421,"Pantalones, Bolsa"
422,"Calcetines, Sudadera, Bolsa"
423,"Camiseta, Bolsa, Balón, Calcetines"
424,"Sudadera, Botella, Calcetines"
425,"Bolsa, Botella"
426,"Botella, Calcetines, Pantalones, Toalla, Camiseta"
427,"Sudadera, Balón, Botella, Bolsa, Pantalones"
428,"Balón, Botella, Bolsa"
429,"Camiseta, Balón"
430,"Sudadera, Toalla, Botella"
431,"Balón, Botella, Zapatillas"
432,"Balón, Sudadera, Zapatillas, Gorra"
433,"Balón, Sudadera, Toalla, Botella"
434,"Toalla, Camiseta, Sudadera, Zapatillas"
435,"Bolsa, Calcetines"
436,"Balón, Toalla"
437,"Balón, Gorra, Camiseta, Calcetines"
438,"Zapatillas, Botella, Bolsa, Pantalones, Sudadera"
439,"Camiseta, Pantalones, Gorra"
440,"Toalla, Sudadera"
441,"Zapatillas, Bolsa, Gorra, Toalla, Calcetines"
442,"Camiseta, Zapatillas, Gorra, Calcetines, Botella"
443,"Botella, Bolsa, Sudadera, Pantalones, Gorra"
444,"Botella, Sudadera, Calcetines, Toalla"
445,"Gorra, Balón, Calcetines, Toalla, Zapatillas"
446,"Calcetines, Balón, Gorra"
447,"Sudadera, Toalla, Balón, Calcetines, Botella"
448,"Calcetines, Pantalones, Bolsa, Gorra"
449,"Zapatillas, Calcetines, Camiseta, Balón"
450,"Sudadera, Toalla"
451,"Toalla, Gorra, Botella, Bolsa"
452,"Botella, Calcetines, Zapatillas, Camiseta"
453,"Gorra, Camiseta, Balón"
454,"Camiseta, Pantalones, Bolsa"
455,"Toalla, Pantalones, Zapatillas, Camiseta"
456,"Bolsa, Toalla, Botella"
457,"Calcetines, Sudadera, Balón"
458,"Pantalones, Gorra"
459,"Zapatillas, Bolsa"
460,"Camiseta, Bolsa, Toalla"
461,"Calcetines, Camiseta, Botella"
462,"Balón, Pantalones, Sudadera, Zapatillas"
463,"Botella, Balón, Toalla, Pantalones, Calcetines"
464,"Calcetines, Gorra, Pantalones, Zapatillas, Toalla"
465,"Calcetines, Zapatillas, Camiseta, Sudadera, Botella"
466,"Balón, Gorra, Zapatillas, Calcetines"
467,"Bolsa, Botella, Sudadera, Camiseta, Gorra"
468,"Zapatillas, Balón"
469,"Sudadera, Gorra, Camiseta, Zapatillas, Botella"
470,"Toalla, Calcetines, Sudadera"
471,"Balón, Camiseta, Calcetines, Sudadera"
472,"Gorra, Camiseta, Pantalones, Balón"
473,"Zapatillas, Bolsa, Calcetines, Sudadera"
474,"Calcetines, Sudadera"
475,"Gorra, Zapatillas, Toalla"
476,"Toalla, Sudadera, Bolsa"
477,"Botella, Gorra, Balón, Sudadera, Calcetines"
478,"Botella, Toalla"
479,"Pantalones, Balón, Camiseta, Bolsa"
480,"Balón, Botella, Zapatillas"
481,"Sudadera, Botella, Toalla"
482,"Gorra, Toalla"
483,"Botella, Toalla"
484,"Toalla, Zapatillas"
485,"Toalla, Camiseta, Balón, Sudadera, Zapatillas"
486,"Bolsa, Calcetines"
487,"Gorra, Pantalones"
488,"Bolsa, Sudadera"
489,"Botella, Camiseta"
490,"Toalla, Camiseta"
491,"Bolsa, Zapatillas, Botella, Balón"
492,"Sudadera, Bolsa, Toalla, Botella, Gorra"
493,"Pantalones, Botella, Zapatillas, Sudadera, Toalla"
494,"Zapatillas, Botella"
495,"Botella, Zapatillas, Gorra, Bolsa, Camiseta"
496,"Calcetines, Toalla"
497,"Botella, Bolsa, Gorra, Pantalones, Toalla"
498,"Zapatillas, Calcetines, Gorra, Sudadera"
499,"Camiseta, Bolsa"
500,"Gorra, Balón"
501,"Pantalones, Camiseta"
502,"Balón, Camiseta, Gorra, Sudadera, Botella"
503,"Toalla, Gorra, Botella, Bolsa, Camiseta"
504,"Botella, Calcetines, Gorra"
505,"Balón, Sudadera, Gorra, Zapatillas"
506,"Botella, Gorra, Bolsa"
507,"Calcetines, Camiseta, Zapatillas, Sudadera"
508,"Botella, Toalla, Camiseta, Zapatillas, Sudadera"
509,"Botella, Sudadera, Bolsa, Gorra, Pantalones"
510,"Bolsa, Zapatillas, Toalla, Pantalones"
511,"Calcetines, Zapatillas, Toalla"
512,"Botella, Bolsa"
513,"Botella, Balón, Zapatillas, Gorra, Pantalones"
514,"Gorra, Sudadera, Pantalones, Balón"
515,"Pantalones, Botella, Gorra, Camiseta"
516,"Bolsa, Camiseta, Pantalones, Toalla"
517,"Toalla, Gorra, Sudadera"
518,"Camiseta, Gorra, Botella, Sudadera"
519,"Toalla, Gorra"
520,"Bolsa, Gorra, Sudadera"
521,"Bolsa, Toalla, Sudadera, Zapatillas"
522,"Sudadera, Botella, Toalla, Gorra"
523,"Toalla, Sudadera"
524,"Sudadera, Balón, Bolsa"
525,"Balón, Gorra"
526,"Camiseta, Calcetines, Bolsa"
527,"Zapatillas, Gorra, Sudadera, Pantalones"
528,"Balón, Gorra, Toalla, Calcetines, Sudadera"
529,"Calcetines, Toalla, Botella, Gorra"
530,"Sudadera, Zapatillas, Botella"
531,"Zapatillas, Botella, Camiseta, Calcetines, Toalla"
532,"Camiseta, Balón"
533,"Zapatillas, Gorra, Pantalones, Sudadera, Toalla"
534,"Gorra, Botella"
535,"Sudadera, Camiseta, Toalla, Balón, Gorra"
536,"Camiseta, Botella"
537,"Camiseta, Balón, Calcetines, Toalla, Zapatillas"
538,"Botella, Bolsa"
539,"Pantalones, Balón, Zapatillas"
540,"Gorra, Botella, Calcetines"
541,"Calcetines, Bolsa, Pantalones, Zapatillas"
542,"Toalla, Gorra, Botella, Zapatillas, Sudadera"
543,"Camiseta, Pantalones"
544,"Bolsa, Balón, Toalla, Camiseta, Sudadera"
545,"Zapatillas, Pantalones"
546,"Bolsa, Sudadera, Pantalones, Calcetines, Camiseta"
547,"Gorra, Toalla, Calcetines"
548,"Pantalones, Calcetines"
549,"Zapatillas, Sudadera"
550,"Gorra, Zapatillas"
551,"Pantalones, Calcetines, Zapatillas, Botella, Balón"
552,"Botella, Sudadera, Bolsa, Toalla, Balón"
553,"Pantalones, Botella, Sudadera"
554,"Pantalones, Bolsa"
555,"Pantalones, Sudadera, Bolsa"
556,"Camiseta, Calcetines, Toalla, Gorra"
557,"Sudadera, Botella, Bolsa"
558,"Zapatillas, Bolsa, Pantalones, Botella, Calcetines"
559,"Gorra, Pantalones, Botella, Zapatillas"
560,"Bolsa, Zapatillas, Balón"
561,"Sudadera, Pantalones, Botella, Camiseta"
562,"Toalla, Sudadera, Calcetines, Camiseta"
563,"Pantalones, Zapatillas, Bolsa"
564,"Botella, Balón, Bolsa, Camiseta, Toalla"
565,"Sudadera, Botella"
566,"Balón, Sudadera"
567,"Camiseta, Calcetines, Bolsa, Gorra, Balón"
568,"Balón, Botella, Zapatillas"
569,"Zapatillas, Balón, Calcetines, Botella, Bolsa"
570,"Zapatillas, Pantalones, Balón, Gorra, Toalla"
571,"Calcetines, Toalla, Pantalones, Zapatillas, Bolsa"
572,"Toalla, Gorra, Balón"
573,"Zapatillas, Calcetines"
574,"Bolsa, Sudadera"
575,"Sudadera, Toalla, Balón, Gorra, Botella"
576,"Calcetines, Sudadera, Gorra"
577,"Sudadera, Zapatillas, Bolsa, Botella, Toalla"
578,"Balón, Gorra, Sudadera, Botella, Zapatillas"
579,"Sudadera, Pantalones, Gorra, Calcetines, Bolsa"
580,"Botella, Camiseta, Toalla"
581,"Toalla, Calcetines, Pantalones"
582,"Toalla, Zapatillas, Calcetines, Pantalones, Botella"
583,"Bolsa, Balón, Pantalones"
584,"Balón, Toalla, Bolsa, Calcetines, Botella"
585,"Botella, Camiseta, Sudadera, Toalla, Calcetines"
586,"Pantalones, Gorra"
587,"Zapatillas, Camiseta, Bolsa, Toalla"
588,"Bolsa, Pantalones, Camiseta, Toalla"
589,"Gorra, Botella, Balón, Toalla"
590,"Bolsa, Toalla, Zapatillas, Botella"
591,"Toalla, Pantalones"
