ID;make;model;version;months_old;power;sale_type;num_owners;gear_type;fuel_type;kms;price
97564;Porsche;Panamera;Turbo S E-Hybrid;5;500;used;1;automatic;hybrid;10000;199900
98244;Porsche;911;991 Gt3 Clubsport *** New Model ***;6;368;used;;automatic;gasoline;50;199900
97786;Porsche;Panamera;4.0 Turbo Sport Turismo 404 Kw;2;404;used;;automatic;gasoline;3000;199500
62388;Bentley;Continental;W12 Gt Convertible Speed 635;21;467;used;1;automatic;gasoline;16000;199000
98187;Porsche;911;Gt3 Rs Pdk;32;368;used;1;automatic;gasoline;14500;199000
62387;Bentley;Continental;Gt Speed *Disponible Ya!! *Solo 5300Km *Naim;20;467;used;1;automatic;gasoline;5;198900
98156;Porsche;911;Turbo Cabriolet Pdk;42;383;used;1;automatic;gasoline;19000;196900
98186;Porsche;911;991 Turbo S Pdk *Cer�micos / Burmester*;27;427;used;;automatic;gasoline;18900;195900
33633;Mercedes-Benz;E220;Estate Cdi Be Elegance Aut. (9.75);96;125;used;;automatic;diesel;190000;195000
97799;Porsche;911;3.3 Turbo Coupe;360;220;used;;manual;gasoline;33000;195000
97800;Porsche;911;3.3 Turbo Coupe;360;220;used;;manual;gasoline;30000;195000
98243;Porsche;911;Gt3 2017;3;500;used;;;;1;195000
62386;Bentley;Continental;Gt V8 Continental Coup� V8 Gt Gt;2;373;;;automatic;gasoline;;195000
82882;Land;RoverRangeRover;5.0 Scv8 Autobiography Lwb *Startech*;28;375;used;;automatic;gasoline;16000;194900
62385;Bentley;Continental;V8 S Gt;7;388;used;;automatic;gasoline;9000;190000
98211;Porsche;911;991 Turbo S Coupe Pdk ** Fuulll **;25;427;used;;automatic;gasoline;4698;189900
37508;Mercedes-Benz;Viano;2.2Cdi Trend Compacta;96;110;used;;manual;diesel;128367;189000
62384;Bentley;Continental;Gtc V8 S *Cer�micos + Mulliner*;23;388;used;;automatic;gasoline;11500;188900
62383;Bentley;Continental;Gtc V8 S Naim Soundsystem 2016;35;388;used;;automatic;gasoline;13500;188500
20134;Bmw;X3;Xdrive 20D;83;135;used;;manual;diesel;148000;188000
62382;Bentley;Continental;Gt V8 S *Naim*;21;388;used;;automatic;gasoline;4109;187500
62381;Bentley;Continental;Gt Speed *Modell 2016* Naim Soundsystem;26;467;used;;automatic;gasoline;11285;186900
98086;Porsche;911;Gt3 Rs Impecable!!!;90;331;used;;manual;gasoline;21600;185000
98185;Porsche;911;Turbo S Cabriolet Pdk;38;412;used;;automatic;gasoline;3000;185000
98210;Porsche;911;Turbo Cabrio Pdk *Exclusiv + Miamiblue*;24;397;used;;automatic;gasoline;5999;184900
98155;Porsche;911;991 Turbo S Cabriolet Pdk;46;412;used;;automatic;gasoline;28499;183900
97785;Porsche;Panamera;Turbo Pdk 2017 *Sport Chrono* Pano.;16;404;used;;automatic;gasoline;9000;181900
62380;Bentley;Continental;Gtc V8 Mulliner *Modell 2016*;25;373;used;;automatic;gasoline;5000;181900
97928;Porsche;911;"Gt2. ""El 911 Mas Extremo""";189;340;used;;manual;gasoline;67200;180000
81840;Kia;Sportage;1.6 Gdi Drive 4X2;41;99;used;;manual;gasoline;28000;180000
62379;Bentley;Continental;Gtc V8 *Modell 2016* Naim Soundsystem;22;373;used;;automatic;gasoline;8600;179900
62378;Bentley;Continental;W12 Gt Speed 635;37;467;used;;automatic;gasoline;9900;179800
98242;Porsche;911;991 Turbo Coup� Pdk Re-Estreno!! Impecable!!;7;397;used;1;automatic;gasoline;3700;179000
62377;Bentley;Continental;Gt V8 Mulliner *Modell 2016*;18;373;used;;automatic;gasoline;2690;178500
62376;Bentley;Continental;Gt Convertible V8;26;373;used;2;automatic;gasoline;8500;178000
62375;Bentley;Continental;W12 Gt Speed 635 / Frenos Cer�micos;24;467;used;;automatic;gasoline;5900;176800
97849;Porsche;911;Turbo, 993 Solo 54.000 Km Coche De Coleccion;251;300;used;1;manual;gasoline;54000;176000
97784;Porsche;Panamera;Turbo Sport *Sport Chrono* Panor�mico;10;404;used;;automatic;gasoline;8907;175500
97783;Porsche;Panamera;Turbo;9;404;used;;automatic;gasoline;5170;175500
5516;Audi;A5;Coup� 2.7Tdi;100;140;used;;manual;diesel;89065;175000
62374;Bentley;Continental;Flying Spur W12 625;48;460;almost_new;;automatic;gasoline;1540;175000
97782;Porsche;Panamera;Turbo S E-Hybrid *Matrix/Llanta 21/Carbon*;7;500;used;;automatic;hybrid;9990;174900
98184;Porsche;911;991 Targa 4 Gts 3.8 *Sport Chrono Paket* Burmester;29;316;used;;automatic;gasoline;18551;174500
97781;Porsche;Panamera;Porsche Turbo Modelo 2017 Nuevo Estreno En Tienda;10;405;used;;;gasoline;9900;173900
15498;Bmw;320;Serie 3 F30 Diesel Efficientdynamics Edition Luxu;70;120;used;1;manual;diesel;172000;170000
7482;Audi;A7;Sportback 3.0Tdi Multitronic 204;31;150;used;;automatic;diesel;16000;170000
62373;Bentley;Continental;Gt V8 S Convertible Glacier White Full Equip;44;388;used;1;automatic;gasoline;28000;169900
62372;Bentley;Continental;Gt V8 S;26;388;used;;automatic;gasoline;24557;169900
62371;Bentley;Continental;Gt V8 S *Exclusiv Mulliner*;21;388;used;;automatic;gasoline;15000;169900
97780;Porsche;Panamera;Turbo Nacional+Paquete Carbono+Volante Carbono;13;404;used;;automatic;gasoline;6000;169900
4449;Audi;A4;Avant 2.0Tdi Dpf S Line Ed.Mult.150 S Line Editio;50;110;used;1;automatic;diesel;116000;169000
98183;Porsche;911;Gt3 Pdk;38;350;used;2;automatic;gasoline;17600;169000
98209;Porsche;911;991 Turbo Coup� Pdk Iva Deducible!! Re-Estreno!!;25;397;used;;automatic;gasoline;15000;169000
98241;Porsche;911;Turbo Cabriolet Pdk Mk2;14;397;used;;automatic;gasoline;8000;169000
97779;Porsche;Panamera;Turbo *2017* Ceramic Brake;15;404;used;;automatic;gasoline;5800;168900
98240;Porsche;911;Targa 4 Gts;4;331;used;;automatic;gasoline;10000;166000
97778;Porsche;Panamera;Turbo Nacional Iva Deducible!!;14;405;used;;automatic;gasoline;7900;165990
98182;Porsche;911;Turbo Cabriolet Pdk;31;383;used;1;automatic;gasoline;16901;165900
97777;Porsche;Panamera;Turbo S Executive Pdk;24;419;used;1;automatic;gasoline;52000;165000
62370;Bentley;Continental;W12 Gt Speed;58;460;used;;automatic;gasoline;8950;164900
98239;Porsche;911;Carrera S Coup�;12;309;used;1;manual;gasoline;40;164600
98181;Porsche;911;991 Turbo S Coup� Pdk Nacional! Impecable!;35;412;used;;automatic;gasoline;7500;160000
98255;Porsche;911;Targa 4S 309 Kw (420 Cv);2;309;used;;automatic;gasoline;3000;160000
98238;Porsche;911;Gt3 Pdk;5;368;used;;automatic;gasoline;10;160000
98153;Porsche;911;991 Gt3 Pdk;41;350;used;;automatic;gasoline;44900;159900
98152;Porsche;911;Turbo S Cabriolet Pdk//Nacional//Approved//Certifi;50;412;used;1;automatic;gasoline;39900;159900
62369;Bentley;Continental;Gt Speed 6.0 W12 A Bajo Coste Con Cashback;32;468;used;1;automatic;gasoline;23500;159900
98180;Porsche;911;"Turbo Coup� Pdk 520 Techart Techo, 20""";38;383;used;1;automatic;gasoline;18000;159900
97776;Porsche;Panamera;Turbo Pdk;14;405;used;;automatic;gasoline;18000;159900
98154;Porsche;911;Gt3 Pdk Kit Club Sport Frenos Cer�micos;50;350;used;1;automatic;gasoline;13000;159900
98254;Porsche;911;Carrera 2 Gts Cabriolet Pdk - Pasm - C�mara;2;331;used;;automatic;gasoline;8000;159900
98151;Porsche;911;"Gt3 Pdk ""Paquete Club Sport""";44;350;used;;automatic;gasoline;24000;159000
98175;Porsche;911;911 Turbo S Coupe Pdk 412Kw (560Cv);37;412;used;;automatic;gasoline;11000;159000
98176;Porsche;911;911 Turbo S Coupe Pdk 412Kw (560Cv);37;412;used;;automatic;gasoline;11000;159000
98177;Porsche;911;911 Turbo S Coupe Pdk 412Kw (560Cv);37;412;used;;automatic;gasoline;11000;159000
98178;Porsche;911;911 Turbo S Coupe Pdk 412Kw (560Cv);37;412;used;;automatic;gasoline;11000;159000
98179;Porsche;911;911 Turbo S Coupe Pdk 412Kw (560Cv);37;412;used;;automatic;gasoline;11000;159000
62368;Bentley;Continental;Gtc V8;60;373;used;;automatic;gasoline;23300;157900
98150;Porsche;911;Gt3 Pdk / Piel / Led / Navi;44;350;used;;automatic;gasoline;24800;157800
83706;Land;RoverRangeRoverSport;Cabrio;21;375;demo;;automatic;gasoline;15000;157000
62367;Bentley;Continental;Gt V8 4.0;32;373;used;;automatic;gasoline;7712;156900
98149;Porsche;911;Gt3 Pdk;44;350;used;1;automatic;gasoline;24000;155000
98237;Porsche;911;Carrera Gts Cabriolet Pdk;11;316;used;;automatic;gasoline;17000;155000
97907;Porsche;911;Gt3 Coup�;206;265;used;;manual;gasoline;10000;155000
97775;Porsche;Panamera;4 E-Hybrid;9;340;used;1;automatic;hybrid;4000;155000
98148;Porsche;911;Turbo S Coup� Pdk;40;412;used;;automatic;gasoline;40000;152900
98236;Porsche;911;Carrera 4 Gts Coup� Pdk;6;331;used;;automatic;gasoline;95;150000
97279;Porsche;Cayenne;Turbo Aut.;33;382;used;;automatic;gasoline;28500;149999
98174;Porsche;911;991 Turbo S Coup� Pdk Iva Deducible!!;29;412;used;;automatic;gasoline;38700;149990
62366;Bentley;Continental;Gt Convertible V8 Nacional--Iva Deducible;47;373;used;;automatic;gasoline;62000;149900
98147;Porsche;911;Gt3 Pdk Libro De Mantenimiento;49;350;used;;automatic;gasoline;19000;149900
98128;Porsche;911;Turbo S Cabrio;60;390;used;;automatic;gasoline;16000;149900
97774;Porsche;Panamera;4S Sport Turismo / Entrega Inmediata;2;324;used;;automatic;gasoline;10;149900
82881;Land;RoverRangeRover;Range Rover 5.0 V8 Super Autobio. ** Vendido***;18;405;used;;automatic;gasoline;25000;149569
98146;Porsche;911;Gt3 Pdk;41;350;used;;automatic;gasoline;10200;149500
82880;Land;RoverRangeRover;4.4Sdv8 Autobiography Aut.;1;250;used;;automatic;diesel;100;149000
98235;Porsche;911;991 Carrera 4 Gts 450 Cvs *2017*;11;331;used;;automatic;gasoline;5600;148500
27820;Ford;Mustang;Shelby Super Snake 750Hp!!;2;552;new;;manual;gasoline;0;148500
62365;Bentley;Continental;W12 Gt W12 575 Cv;60;423;used;;automatic;gasoline;1850;148000
97359;Porsche;Cayenne;S Modelo 2018;3;324;used;;automatic;gasoline;10;148000
98145;Porsche;911;991 Gt3 Pdk;43;350;used;;automatic;gasoline;20000;147900
98144;Porsche;911;Gt3 Pdk;44;350;used;2;automatic;gasoline;35900;146500
98143;Porsche;911;Gt3 Pdk Garantia Hasta 2024;41;350;used;;automatic;gasoline;19500;145000
98173;Porsche;911;Carrera 4 Gts Cabriolet Pdk;37;316;used;;automatic;gasoline;13200;145000
97773;Porsche;Panamera;4S Di�sel 2017;11;310;almost_new;1;automatic;diesel;2500;145000
62363;Bentley;Continental;Gt V8 - Nacional - Concesionario Oficial;36;373;used;1;automatic;gasoline;28100;144900
97772;Porsche;Panamera;4S Aut.;14;324;used;1;automatic;gasoline;15500;144900
62364;Bentley;Continental;W12 Gt Speed 635 Last Edition Stock Ngp;7;467;used;;automatic;gasoline;5000;144900
98252;Porsche;911;Carrera 2 Gts Coup� Pdk - Susp Pasm - Sport Chrono;1;331;used;;automatic;gasoline;30;144900
98253;Porsche;911;Carrera 4 S Coup� Pdk / Sp.Chrono / Pasm / Techo P;1;309;used;;automatic;gasoline;30;144900
98113;Porsche;911;Gt3 Pdk;51;350;used;;automatic;gasoline;42000;144500
98172;Porsche;911;Carrera 4 Gts Cabriolet Pdk (430 Cv);29;316;used;;automatic;gasoline;18000;143900
98234;Porsche;911;Carrera Gts Cabriolet;9;331;used;;automatic;gasoline;8530;143500
82879;Land;RoverRangeRover;4.4 Sdv8 Autobiography *Panor�mico*;13;250;used;;automatic;diesel;10900;141900
97771;Porsche;Panamera;"4S Diesel *2017* Llanta 21\""";16;310;used;;automatic;diesel;50;140900
98142;Porsche;911;Turbo S Coup� Pdk;41;412;used;;automatic;gasoline;59500;139900
97563;Porsche;Panamera;4S Pdk/Nacional/Approved/Certificado/Iva Deducible;16;309;used;1;automatic;gasoline;11800;139900
97289;Porsche;Cayenne;Turbo S;23;419;used;;automatic;gasoline;11700;139900
97770;Porsche;Panamera;Turbo S Executive *Burmester* Fond Intertainment;29;419;used;;automatic;gasoline;9700;139900
98232;Porsche;911;Carrera 2 Gts Pdk//Nacional//Approved//Certificado;12;331;used;1;automatic;gasoline;7900;139900
98233;Porsche;911;Carrera Gts 3.0 Coup� Pdk;7;331;used;1;automatic;gasoline;4100;139900
62362;Bentley;Continental;W12 Gt;43;423;used;;automatic;gasoline;29000;139000
97533;Porsche;Macan;Turbo Performance Package Aut. / Panor�mico;6;324;used;;automatic;gasoline;10;138900
98207;Porsche;911;991 4S Cabrio Pdk *Import Alemania*;25;309;used;;automatic;gasoline;3900;138500
98208;Porsche;911;991 Carrera Targa 4 Pdk *Facelift*;21;272;used;;automatic;gasoline;3071;138500
98141;Porsche;911;Gt3 Pdk, Club Sport, Navi, Led, Bakets,;44;350;used;1;automatic;gasoline;69000;138000
98231;Porsche;911;Carrera 2 Gts Coup� Pdk;9;331;used;1;automatic;gasoline;7000;138000
98206;Porsche;911;Targa Gts 4 Pdk;24;316;used;1;automatic;gasoline;2200;138000
7217;Audi;A6;Rs 6 Avant 4.0 Tfsi Performance Q. Tip.;2;445;used;;automatic;gasoline;1;138000
98171;Porsche;911;Carrera S Cabriolet Pdk;29;294;used;;automatic;gasoline;1700;137999
97332;Porsche;Cayenne;Diesel Aut.;23;221;used;;automatic;diesel;61200;137900
98140;Porsche;911;Gt3 Pdk *Buckets Sport Seats Carbon*;46;350;used;;automatic;gasoline;29200;136900
97562;Porsche;Panamera;4S Aut/Nacional/Approved/Certificado/Iva Deducible;9;324;used;1;automatic;gasoline;6600;136900
97769;Porsche;Panamera;4S Diesel V8 4.0 422Cv;14;310;almost_new;1;automatic;diesel;14500;135900
98170;Porsche;911;(991) Carrera 4S Cabriolet Pdk 400Cv;32;294;used;;automatic;gasoline;43000;135000
62361;Bentley;Continental;Gt Convertible V8 Ngp;30;373;used;;automatic;gasoline;22500;135000
97768;Porsche;Panamera;4S Pdk Sport Chrono;14;309;used;;automatic;diesel;5000;135000
97358;Porsche;Cayenne;Turbo Aut.;4;404;used;;automatic;gasoline;2000;135000
97357;Porsche;Cayenne;Turbo Aut.;4;382;used;;automatic;gasoline;180;135000
62360;Bentley;Continental;W12 Gt;56;423;used;;automatic;gasoline;12000;134900
83705;Land;RoverRangeRoverSport;5.0 V8 Svr *Panor�mico* Carbon / Svr Seats;20;405;used;;automatic;gasoline;2654;134900
98169;Porsche;911;Carrera 4S Cabriolet Pdk;28;294;used;1;automatic;gasoline;24500;134000
82878;Land;RoverRangeRover;4.4 Sdv8 Autobiography *Panor�mico*;17;250;used;;automatic;diesel;18000;133900
98168;Porsche;911;Carrera 4S Cabrio;30;294;used;;automatic;gasoline;10438;133900
97767;Porsche;Panamera;4S Diesel 4.0 *Pano/Sport Seats/Llanta 21*;11;310;used;;automatic;diesel;9000;133900
82877;Land;RoverRangeRover;4.4 Sdv8 Vogue *1.500 Kms* New;20;250;used;;automatic;diesel;1500;133500
60251;Volkswagen;Touareg;3.0Tdi Individual;121;176;used;;manual;diesel;180000;133000
98205;Porsche;911;991 Carrera Targa 4 Pdk *Modell 2017*;23;272;used;;automatic;gasoline;28900;131900
98230;Porsche;911;Carrera 4 S Cabrio Pdk/Nacional/Approved/Iva Dedu;8;309;used;1;automatic;gasoline;15000;130900
10196;Audi;Tt;Coup� 2.0 Tfsi;134;147;used;;manual;gasoline;103000;130000
97816;Porsche;911;3.3 Turbo Coup�;325;261;used;;manual;gasoline;93000;129900
62359;Bentley;Continental;V8 Gt //Iva Deducible//;62;373;used;;automatic;gasoline;59800;129900
82874;Land;RoverRangeRover;Range Rover Autobiography 4.4Sdv8 Lwb * Largo * Si;34;250;used;;automatic;diesel;57560;129900
82875;Land;RoverRangeRover;Range Rover Autobiography 4.4Sdv8 Lwb * Largo * Si;34;250;used;;automatic;diesel;57560;129900
82876;Land;RoverRangeRover;Range Rover Autobiography 4.4Sdv8 Lwb * Largo * Si;34;250;used;;automatic;diesel;57560;129900
97765;Porsche;Panamera;4S Diesel;12;310;used;;automatic;diesel;16123;129900
98203;Porsche;911;Carrera 4S Coup� Pdk New Face Lift (Iva Deducib);22;309;used;1;automatic;gasoline;14500;129900
98204;Porsche;911;Carrera 4 S Cabriolet Pdk;22;309;used;;automatic;gasoline;13000;129900
97344;Porsche;Cayenne;S;4;324;used;;automatic;gasoline;10000;129900
62290;Bentley;Continental;W12 Gt;62;423;used;1;automatic;gasoline;6500;129900
97766;Porsche;Panamera;4 E-Hybrid;9;340;demo;;automatic;hybrid;5000;129900
97356;Porsche;Cayenne;S //Nacional//Approved//Certificado//Iva Deducible;3;324;used;1;automatic;gasoline;3500;129900
98229;Porsche;911;Carrera S;5;309;used;;automatic;gasoline;3000;129900
97764;Porsche;Panamera;4S Diesel;9;310;used;;automatic;diesel;6703;129890
98202;Porsche;911;Carrera S Coup� Pdk;22;294;used;1;automatic;gasoline;7500;129800
82873;Land;RoverRangeRover;5.0 V8 Autobiography Sv New Modell;6;405;used;;automatic;gasoline;100;129551
98201;Porsche;911;Carrera 4 Cabriolet;23;272;almost_new;;manual;gasoline;8100;129000
98228;Porsche;911;Carrera 4 Gts Coup� Pdk;5;331;used;;automatic;gasoline;3000;129000
7684;Audi;A8;50 Tdi Quattro Tiptronic 210 Kw (286 Cv);2;210;used;;automatic;diesel;14999;128999
62357;Bentley;Continental;W12 Gt;62;423;used;;automatic;gasoline;49000;128900
62358;Bentley;Continental;W12 Gt;62;423;used;;automatic;gasoline;49000;128900
97763;Porsche;Panamera;4S Diesel;9;310;used;;automatic;diesel;15000;128500
97761;Porsche;Panamera;4 E-Hybrid;5;340;used;;automatic;hybrid;14800;128000
97762;Porsche;Panamera;4S Diesel Aut.;16;310;used;1;automatic;diesel;11100;128000
97760;Porsche;Panamera;4 E-Hybrid;6;340;used;1;automatic;hybrid;5000;127990
98227;Porsche;911;991 Carrera 4 Cabrio Pdk *Sport Chrono*;13;272;used;;automatic;gasoline;8000;127900
98226;Porsche;911;Carrera 4;6;272;used;;automatic;gasoline;3200;127890
98127;Porsche;911;Turbo Coup� Pdk -Porsche Approved;56;383;used;;automatic;gasoline;28000;127500
98158;Porsche;911;Carrera 4 Gts 991 Coup� Pdk Vehiculo Nacional;31;316;used;1;automatic;gasoline;22500;127400
98093;Porsche;911;Turbo S Mk Ii;82;390;used;;automatic;gasoline;28000;126900
82872;Land;RoverRangeRover;4.4 Sdv8 Autobiography Largo *Fond Intertainment*;26;250;used;;automatic;diesel;15863;126900
97532;Porsche;Macan;Turbo Performance / Techo P / Pasm / Garant�a;4;324;used;;automatic;gasoline;2900;126900
97355;Porsche;Cayenne;Turbo Aut.;4;382;used;1;automatic;gasoline;125;126900
98157;Porsche;911;Carrera 4S Cabriolet;34;294;used;1;automatic;gasoline;14500;126500
97759;Porsche;Panamera;4S 4.0 Diesel 2017 *Bose* Led/ Suspensi�n;15;310;used;;automatic;diesel;9258;126500
98200;Porsche;911;991 Carrera S Cabrio Pdk *Mk2* Modell 2017;23;309;used;;automatic;gasoline;4300;126500
98092;Porsche;911;Turbo S Coup� Pdk Porsche Aproveed;84;390;used;1;automatic;gasoline;28850;125900
98139;Porsche;911;Targa 4 Pdk;45;257;used;;automatic;gasoline;18800;125550
97758;Porsche;Panamera;4S Diesel Aut.;7;310;used;;automatic;diesel;25000;125000
62356;Bentley;Continental;Gt;83;423;used;;automatic;gasoline;11000;125000
82871;Land;RoverRangeRover;4.4Sdv8 Vogue;10;250;used;;automatic;diesel;1500;125000
98085;Porsche;911;Turbo S Cabriolet Aut.;88;390;used;2;automatic;gasoline;19000;124900
62355;Bentley;Continental;Gt Convertible V8 Precio Netto!!;56;373;used;1;automatic;gasoline;11980;124900
97531;Porsche;Macan;Turbo Performance Package / Techo Pan / Garant�a;2;324;used;;automatic;gasoline;3500;124900
97757;Porsche;Panamera;4S Diesel;9;310;used;;automatic;diesel;5100;124800
97756;Porsche;Panamera;4 E-Hybrid;6;339;used;;automatic;electric;9100;124700
97561;Porsche;Panamera;4S Pdk Impecable !!;12;324;used;1;automatic;gasoline;12500;123900
97560;Porsche;Panamera;4S Diesel;14;310;used;;automatic;diesel;11400;123600
98199;Porsche;911;Carrera 4 Coup�;18;272;used;;automatic;gasoline;11000;123000
97794;Porsche;911;3.3 Turbo Coup�;369;220;classic;;manual;gasoline;84651;122750
97755;Porsche;Panamera;4S Diesel 4.0 *Susp / Bose / Llanta 21*;16;310;used;;automatic;diesel;13647;122500
97530;Porsche;Macan;Turbo Performance Package - Pdls+ - Pasm;7;324;used;;automatic;gasoline;6900;121900
62354;Bentley;Continental;Gt V8;61;373;used;;automatic;gasoline;47400;121000
97848;Porsche;911;Carrera 4 Coup�;262;210;used;;manual;gasoline;143000;120993
97825;Porsche;911;3.6 Carrera Rs Base/Tour;311;191;used;;manual;gasoline;84000;120964
97754;Porsche;Panamera;4S Diesel Aut.;13;310;almost_new;1;automatic;diesel;42000;120800
86589;Mitsubishi;Asx;180Di-D Challenge;64;85;used;;manual;diesel;118000;120500
97847;Porsche;911;Carrera 4 Coup�;262;210;used;;manual;gasoline;143000;120000
97846;Porsche;911;Coup� Carrera 4 S;262;209;used;;automatic;gasoline;142000;120000
97824;Porsche;911;Coup� Rs;311;193;used;;manual;gasoline;84000;120000
98056;Porsche;911;Gt3 *Approved * Certificado;121;305;used;;manual;gasoline;21000;120000
7683;Audi;A8;50 Tdi Quattro Tiptronic 210 K;1;210;used;;automatic;diesel;240;120000
